,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Monrovia,80,LR,1595793344,78,6.3,-10.8,76.66,12.5
1,Bluff,0,NZ,1595792824,85,-46.6,168.33,42.24,11.5
2,Oddur,18,SO,1595793344,73,4.12,43.89,73.96,12.06
3,Ushuaia,40,AR,1595793009,90,-54.8,-68.3,33.8,20.8
4,Bathsheba,59,BB,1595793094,77,13.22,-59.52,83.12,17.09
5,Hermanus,14,ZA,1595793019,77,-34.42,19.23,52.0,1.99
6,Vaini,40,TO,1595793012,94,-21.2,-175.2,68.0,5.82
7,Ponta do Sol,20,PT,1595792705,64,32.67,-17.1,73.4,13.87
8,Paamiut,5,GL,1595793265,89,61.99,-49.67,46.15,1.14
9,Provideniya,75,RU,1595793043,76,64.38,-173.3,48.2,6.71
10,Mount Isa,0,AU,1595793346,53,-20.73,139.5,50.0,10.85
11,Cherskiy,14,RU,1595793038,36,68.75,161.3,75.97,15.7
12,Port Elizabeth,73,ZA,1595793011,71,-33.92,25.57,57.2,8.05
13,Ilulissat,100,GL,1595793055,93,69.22,-51.1,44.6,8.05
14,Ormara,100,PK,1595793151,84,25.21,64.64,84.45,16.04
15,New Norfolk,100,AU,1595793014,82,-42.78,147.06,43.0,2.71
16,Rome,40,US,1595792525,51,43.21,-75.46,84.99,9.17
17,San Patricio,40,MX,1595793165,75,19.22,-104.7,89.6,9.17
18,Kumul,0,CN,1595793127,19,42.8,93.45,83.5,18.45
19,Venezuela,100,VE,1595793347,67,8.0,-66.0,84.58,7.94
20,Nchelenge,20,ZM,1595793348,54,-9.35,28.73,66.15,7.23
21,Punta Arenas,20,CL,1595793007,64,-53.15,-70.92,39.2,19.46
22,Albany,0,US,1595793016,29,42.6,-73.97,91.99,9.91
23,Aksay,82,RU,1595793348,26,47.26,39.87,80.6,17.9
24,Saint Paul Harbor,75,US,1595793028,63,57.79,-152.41,60.8,10.29
25,Thompson,90,CA,1595792729,93,55.74,-97.86,59.0,9.17
26,Airai,67,TL,1595793011,85,-8.93,125.41,53.46,3.87
27,Carnarvon,0,AU,1595793041,100,-24.87,113.63,53.6,5.82
28,Forsytheganj,92,BY,1595793262,92,52.63,29.73,64.06,6.02
29,Ishinomaki,100,JP,1595793350,96,38.42,141.3,68.14,5.23
30,Hilo,1,US,1595793003,69,19.73,-155.09,82.4,5.82
31,Pavino,7,RU,1595793350,94,59.11,46.14,56.46,3.22
32,Cape Town,20,ZA,1595793014,71,-33.93,18.42,55.99,21.92
33,Port Macquarie,94,AU,1595793153,99,-31.43,152.92,51.01,8.93
34,Bredasdorp,16,ZA,1595793024,71,-34.53,20.04,50.0,3.36
35,Chokurdakh,100,RU,1595792856,82,70.63,147.92,44.64,11.9
36,Tuktoyaktuk,40,CA,1595793029,67,69.45,-133.04,62.6,9.17
37,Bubaque,100,GW,1595793351,84,11.28,-15.83,79.74,12.73
38,Bowen,0,AU,1595793351,93,-20.02,148.23,62.01,10.38
39,Charagua,0,BO,1595793352,35,-19.8,-63.22,75.24,11.79
40,Anloga,20,GH,1595793352,88,5.79,0.9,75.2,10.29
41,Severo-Kuril'sk,99,RU,1595793154,91,50.68,156.12,51.12,16.37
42,Talnakh,83,RU,1595793060,93,69.49,88.4,44.6,17.9
43,Port Blair,99,IN,1595793070,76,11.67,92.75,82.45,2.8
44,Eyl,8,SO,1595793353,59,7.98,49.82,81.66,16.84
45,Mataura,0,NZ,1595792713,90,-46.19,168.86,34.54,2.62
46,Esperance,91,AU,1595793141,93,-33.87,121.9,46.4,12.75
47,Port Hedland,5,AU,1595793142,24,-20.32,118.57,57.2,9.17
48,Harper,80,LR,1595792934,77,4.38,-7.72,75.65,9.55
49,Jamestown,75,US,1595793030,57,42.1,-79.24,84.99,9.17
50,Huarmey,2,PE,1595792776,65,-10.07,-78.15,67.1,11.81
51,Isangel,28,VU,1595793145,83,-19.55,169.27,73.53,15.7
52,Katsuura,75,JP,1595792752,94,35.13,140.3,77.0,12.75
53,Pisco,40,PE,1595793049,72,-13.7,-76.22,64.99,11.41
54,Bengkulu,73,ID,1595793094,85,-3.8,102.27,74.64,4.63
55,Avarua,98,CK,1595792843,83,-21.21,-159.78,71.6,8.05
56,Kamsack,20,CA,1595793355,46,51.57,-101.9,73.4,24.16
57,Beringovskiy,69,RU,1595793356,69,63.05,179.32,63.05,5.44
58,Lodwar,12,KE,1595793356,62,3.12,35.6,76.82,5.21
59,Santa Maria,0,BR,1595793356,55,-29.68,-53.81,62.6,9.17
60,Laurel,1,US,1595793113,33,39.1,-76.85,95.0,5.82
61,Upernavik,92,GL,1595793031,84,72.79,-56.15,45.25,0.89
62,Coyhaique,20,CL,1595793195,48,-45.58,-72.07,39.2,5.82
63,Durango,100,MX,1595793073,59,24.83,-104.83,74.7,16.2
64,East London,94,ZA,1595793031,68,-33.02,27.91,60.93,15.99
65,Torbay,90,CA,1595793157,93,47.67,-52.73,59.0,14.99
66,Hobart,99,AU,1595792979,87,-42.88,147.33,45.0,5.82
67,Shache,85,CN,1595793358,20,38.42,77.24,80.49,8.7
68,Puerto Ayora,20,EC,1595792989,57,-0.74,-90.35,78.8,23.04
69,Itarema,41,BR,1595793251,64,-2.92,-39.92,81.45,15.32
70,Hasaki,75,JP,1595792999,94,35.73,140.83,75.2,6.93
71,Ahipara,0,NZ,1595793086,81,-35.17,173.17,47.19,5.23
72,Haines Junction,52,CA,1595793128,64,60.75,-137.51,56.48,11.59
73,Gobabis,0,NA,1595793359,35,-22.45,18.97,57.2,2.24
74,Bambous Virieux,75,MU,1595793080,73,-20.34,57.76,70.0,16.11
75,Karagay,70,RU,1595793270,79,58.27,54.94,56.95,3.71
76,Touros,40,BR,1595793188,83,-5.2,-35.46,77.0,10.29
77,Tiksi,100,RU,1595793017,94,71.69,128.87,37.06,13.58
78,Saskylakh,100,RU,1595793030,95,71.92,114.08,36.82,19.82
79,Placerville,1,US,1595793361,25,38.73,-120.8,96.01,8.05
80,Kapaa,20,US,1595793004,74,22.08,-159.32,80.6,16.11
81,Lebu,100,CL,1595793021,80,-37.62,-73.65,51.87,10.33
82,George Town,40,MY,1595793063,94,5.41,100.34,80.6,3.53
83,Necochea,100,AR,1595793110,68,-38.55,-58.74,52.0,7.0
84,Iqaluit,40,CA,1595793039,76,63.75,-68.51,53.6,5.82
85,Okha,0,RU,1595793362,90,53.57,142.95,51.03,8.12
86,La Ronge,40,CA,1595793159,53,55.1,-105.28,71.6,14.99
87,Hirado,100,JP,1595793363,95,33.36,129.55,80.01,1.99
88,Mahébourg,75,MU,1595792708,73,-20.41,57.7,69.8,16.11
89,Rikitea,0,PF,1595792995,77,-23.12,-134.97,70.23,18.32
90,Butaritari,0,KI,1595793009,75,3.07,172.79,83.19,14.47
91,Port Alfred,66,ZA,1595793121,69,-33.59,26.89,58.24,14.45
92,Yerbogachën,0,RU,1595793364,92,61.28,108.01,51.26,4.32
93,Gilching,86,DE,1595793364,88,48.1,11.3,63.0,10.29
94,Busselton,49,AU,1595793004,78,-33.65,115.33,62.01,14.79
95,Moose Factory,20,CA,1595793364,55,51.26,-80.61,87.8,6.93
96,Bronte,0,IT,1595793365,69,37.79,14.83,81.0,5.82
97,Kilindoni,55,TZ,1595793365,75,-7.91,39.67,76.98,20.67
98,Arraial do Cabo,20,BR,1595792871,73,-22.97,-42.03,77.0,3.36
99,Mar del Plata,100,AR,1595792951,66,-38.0,-57.56,52.0,14.99
100,Kruisfontein,65,ZA,1595793140,88,-34.0,24.73,54.0,4.07
101,Kapuskasing,40,CA,1595793366,55,49.42,-82.43,86.0,6.93
102,Chui,100,UY,1595793034,82,-33.7,-53.46,51.55,5.12
103,Atuona,4,PF,1595793019,71,-9.8,-139.03,80.24,24.2
104,Te Anau,28,NZ,1595793095,87,-45.42,167.72,35.19,0.83
105,Leningradskiy,58,RU,1595792811,43,69.38,178.42,70.32,16.08
106,Puerto del Rosario,0,ES,1595793074,69,28.5,-13.86,77.0,19.46
107,Saldanha,0,ZA,1595792713,71,-33.01,17.94,53.6,9.17
108,Ribeira Grande,75,PT,1595793029,88,38.52,-28.7,75.2,6.93
109,Cairns,0,AU,1595793368,93,-16.92,145.77,57.99,1.12
110,Gonder,97,ET,1595793368,93,12.6,37.47,56.53,3.15
111,Okmulgee,40,US,1595793135,59,35.62,-95.96,89.6,6.93
112,Saint George,1,US,1595792902,13,37.1,-113.58,100.0,6.93
113,Vila Velha,75,BR,1595793097,78,-20.33,-40.29,78.01,6.93
114,Qaanaaq,0,GL,1595793015,53,77.48,-69.36,47.16,9.17
115,Port Lincoln,0,AU,1595793166,86,-34.73,135.87,52.99,7.36
116,Cap-aux-Meules,75,CA,1595793369,93,47.38,-61.86,66.2,5.82
117,Umluj,90,SA,1595793369,43,25.02,37.27,93.67,11.41
118,Litovko,100,RU,1595793370,94,49.24,135.17,64.45,2.28
119,São Filipe,90,CV,1595793035,85,14.9,-24.5,76.51,5.86
120,Alice Springs,0,AU,1595793361,74,-23.7,133.88,37.4,3.36
121,Yar-Sale,44,RU,1595793158,82,66.83,70.83,48.36,7.92
122,Saint Anthony,75,US,1595793258,69,45.02,-93.22,86.0,10.29
123,Cayenne,91,GF,1595793114,78,4.93,-52.33,80.6,6.93
124,Lagoa,61,PT,1595793107,91,39.05,-27.98,72.66,11.79
125,Sitka,75,US,1595793110,87,57.05,-135.33,55.4,5.82
126,Talara,25,PE,1595793371,76,-4.58,-81.27,66.65,17.6
127,Dunedin,0,NZ,1595793279,76,-45.87,170.5,45.0,5.99
128,Manokwari,100,ID,1595792827,78,-0.87,134.08,79.56,7.02
129,Palmer,40,US,1595792624,38,42.16,-72.33,91.99,12.75
130,Fairbanks,90,US,1595792907,82,64.84,-147.72,64.0,4.18
131,Sayville,75,US,1595793075,66,40.74,-73.08,91.0,16.11
132,Banda Aceh,100,ID,1595793373,79,5.56,95.32,79.25,8.03
133,Bethel,1,US,1595793134,43,41.37,-73.41,91.0,13.87
134,Grand Forks,20,US,1595793366,39,47.93,-97.03,78.8,14.99
135,Mackay,0,AU,1595793373,93,-21.15,149.2,51.8,2.24
136,Salalah,75,OM,1595792716,94,17.02,54.09,78.8,2.24
137,Hithadhoo,100,MV,1595793033,70,-0.6,73.08,82.54,6.8
138,Aklavik,40,CA,1595792759,68,68.22,-135.01,64.4,6.93
139,Saint-Philippe,76,RE,1595793034,77,-21.36,55.77,69.8,5.82
140,Pevek,100,RU,1595793125,66,69.7,170.31,54.43,11.86
141,Havelock,20,US,1595793184,49,34.88,-76.9,93.2,14.99
142,Yelizovo,23,RU,1595793375,100,53.19,158.38,57.2,4.47
143,Nanortalik,58,GL,1595793150,83,60.14,-45.24,46.26,2.77
144,Honningsvåg,9,NO,1595793143,52,70.98,25.97,68.0,11.41
145,Barrow,90,US,1595793055,87,71.29,-156.79,44.6,19.46
146,Ambunti,73,PG,1595793376,98,-4.24,142.84,72.64,0.29
147,Alyangula,46,AU,1595793376,64,-13.85,136.42,69.8,4.7
148,Cidreira,100,BR,1595793078,78,-30.18,-50.21,57.0,14.34
149,Ngara,0,TZ,1595793376,52,-2.51,30.66,61.43,3.58
150,Mednogorsk,0,RU,1595793377,84,51.41,57.59,57.25,5.19
151,Souillac,75,MU,1595793067,73,-20.52,57.52,69.8,16.11
152,Yellowknife,20,CA,1595793139,40,62.46,-114.35,71.6,9.17
153,Nushki,4,PK,1595793378,43,29.55,66.02,83.73,6.85
154,Harsīn,75,IR,1595793378,14,34.27,47.59,89.6,9.17
155,Walvis Bay,0,NA,1595793378,25,-22.96,14.51,75.2,11.41
156,Along,80,IN,1595793378,89,28.17,94.77,74.07,1.3
157,Kilgore,75,US,1595793038,59,32.39,-94.88,89.6,9.17
158,Mayo,40,US,1595793170,46,38.89,-76.51,95.0,6.93
159,Cabo San Lucas,5,MX,1595793079,62,22.89,-109.91,96.8,5.82
160,Kaupanger,75,NO,1595793379,100,61.18,7.24,55.4,18.34
161,San Quintín,5,MX,1595793179,66,30.48,-115.95,74.35,13.98
162,Yangi Marg`ilon,90,UZ,1595793109,57,40.43,71.72,75.2,4.7
163,Geraldton,0,AU,1595793136,87,-28.77,114.6,51.8,11.41
164,Loa Janan,74,ID,1595793380,94,-0.58,117.09,73.24,3.0
165,Ulladulla,90,AU,1595793091,100,-35.35,150.47,59.0,23.04
166,Kaeo,0,NZ,1595793381,3,-35.1,173.78,48.0,1.99
167,Plettenberg Bay,58,ZA,1595793381,68,-34.05,23.37,54.88,2.55
168,Belyy Yar,40,RU,1595793381,77,53.6,91.39,64.4,15.66
169,Nikolskoye,0,RU,1595793081,72,59.7,30.79,59.0,2.24
170,Sola,82,VU,1595793181,83,-13.88,167.55,80.17,24.36
171,Nantucket,40,US,1595793382,78,41.28,-70.1,80.6,19.46
172,Lázaro Cárdenas,41,MX,1595793382,57,17.96,-102.2,88.52,6.55
173,Dingtao,58,CN,1595793382,86,35.07,115.56,68.43,0.87
174,Nieuw Amsterdam,40,SR,1595793383,74,5.88,-55.08,86.0,9.17
175,Prado,21,BR,1595793383,79,-17.34,-39.22,73.4,6.67
176,Clyde River,1,CA,1595792898,76,70.47,-68.59,48.2,3.36
177,Nome,75,US,1595793069,71,64.5,-165.41,59.0,4.7
178,Mocuba,0,MZ,1595793383,96,-16.84,36.99,60.64,2.93
179,Lompoc,8,US,1595793058,68,34.64,-120.46,72.0,16.11
180,Laas,20,IT,1595793140,44,46.62,10.7,80.6,4.7
181,Viedma,76,AR,1595793385,78,-40.81,-63.0,52.0,1.01
182,Metković,94,HR,1595793385,50,43.05,17.65,78.8,6.93
183,Carutapera,13,BR,1595793385,86,-1.2,-46.02,79.27,6.89
184,Whitecourt,20,CA,1595793385,40,54.15,-115.69,71.6,10.29
185,Saquena,89,PE,1595793385,90,-4.67,-73.52,78.6,2.21
186,Kargala,10,RU,1595793386,87,56.62,83.96,55.0,3.27
187,Goundam,42,ML,1595793386,27,16.41,-3.67,99.34,1.9
188,Poum,0,NC,1595793386,81,-20.23,164.02,72.91,18.07
189,Kulhudhuffushi,72,MV,1595793386,73,6.62,73.07,81.84,7.0
190,Caxito,100,AO,1595793387,83,-8.58,13.66,73.4,10.29
191,Lüderitz,0,NA,1595793181,46,-26.65,15.16,71.6,11.41
192,Batagay-Alyta,78,RU,1595793190,59,67.8,130.41,55.98,7.74
193,Kiryat Gat,0,IL,1595793388,70,31.61,34.76,82.99,4.21
194,Wheatley,100,GB,1595793388,77,51.75,-1.14,64.4,8.05
195,Nishihara,40,JP,1595793388,83,26.18,127.76,80.6,6.93
196,Hanting,51,CN,1595793388,85,36.77,119.21,70.45,1.74
197,Karligan,100,PH,1595793389,74,14.97,122.05,82.44,2.95
198,Saint-Joseph,78,RE,1595793389,77,-21.37,55.62,66.2,5.82
199,Chernyshevskiy,7,RU,1595792938,94,63.01,112.47,43.75,2.39
200,Grindavik,75,IS,1595793103,66,63.84,-22.43,53.6,18.34
201,Vargashi,39,RU,1595793390,72,55.36,65.85,54.63,6.78
202,Chicama,2,PE,1595793158,55,-7.84,-79.15,72.09,9.6
203,Havøysund,1,NO,1595793390,52,71.0,24.66,68.0,11.41
204,Codrington,82,AU,1595792693,90,-38.27,141.97,50.31,9.84
205,Sindou,81,BF,1595792808,86,10.67,-5.17,75.54,6.6
206,Panlaitan,55,PH,1595793391,72,12.12,119.85,82.92,1.81
207,Santa Isabel Rio Negro,92,BR,1595793391,67,-0.41,-65.02,84.13,4.43
208,Saryozek,100,KZ,1595793391,34,44.36,77.98,72.45,8.77
209,Tasiilaq,100,GL,1595793069,75,65.61,-37.64,46.4,8.05
210,Labuhan,58,ID,1595793392,85,-6.88,112.21,72.73,6.87
211,Vila Franca do Campo,40,PT,1595793005,78,37.72,-25.43,73.4,10.29
212,Coquimbo,34,CL,1595793136,59,-29.95,-71.34,62.6,13.87
213,Nago,90,JP,1595792808,83,26.59,127.98,80.6,6.93
214,Cabra,0,ES,1595793393,26,37.47,-4.44,96.01,6.71
215,Hobyo,24,SO,1595793393,76,5.35,48.53,78.03,21.99
216,Nabire,99,ID,1595792975,88,-3.37,135.48,75.25,3.04
217,Imbituba,75,BR,1595793394,55,-28.24,-48.67,64.4,9.17
218,Svatove,96,UA,1595793394,50,49.41,38.15,72.52,11.81
219,Bud,40,US,1595793394,66,39.45,-86.18,90.0,4.7
220,Dingle,13,PH,1595793158,88,11.0,122.67,76.44,2.55
221,Castro,100,BR,1595792708,70,-24.79,-50.01,66.25,3.36
222,Ilovka,36,RU,1595793395,58,50.71,38.64,65.61,8.12
223,Westport,1,US,1595793059,43,41.14,-73.36,95.0,14.99
224,Businga,100,CD,1595793396,95,3.33,20.88,68.83,1.25
225,Flinders,100,AU,1595793173,98,-34.58,150.86,62.01,14.0
226,Yashkino,41,RU,1595793396,71,55.87,85.43,57.2,4.47
227,Wilmington,20,US,1595793099,49,34.23,-77.94,93.0,11.41
228,Narsaq,75,GL,1595793164,66,60.92,-46.05,53.6,9.17
229,Faya,40,SA,1595793164,82,18.39,42.45,68.0,9.17
230,Otjiwarongo,0,NA,1595793397,36,-20.46,16.65,56.86,11.79
231,Nouna,1,BF,1595793397,61,12.73,-3.87,83.73,8.68
232,Baghdad,0,IQ,1595793133,25,33.34,44.4,98.6,2.24
233,Khatanga,100,RU,1595793095,88,71.97,102.5,39.11,8.37
234,Jaciara,0,BR,1595793398,22,-15.97,-54.97,90.0,6.35
235,São João da Barra,75,BR,1595793101,69,-21.64,-41.05,77.0,16.11
236,Constitución,100,CL,1595793132,78,-35.33,-72.42,55.49,3.27
237,Union City,1,US,1595793398,60,37.6,-122.02,81.0,10.29
238,Adré,100,TD,1595793399,73,13.47,22.2,77.16,13.06
239,Caravelas,14,BR,1595793168,78,-17.71,-39.25,73.45,5.88
240,Umm Kaddadah,39,SD,1595792957,52,13.6,26.69,85.12,7.0
241,Saint-Augustin,37,CA,1595793399,77,51.23,-58.65,64.72,12.26
242,Loreto,100,MX,1595793400,42,22.27,-101.97,77.97,8.41
243,Waingapu,59,ID,1595793265,82,-9.66,120.26,72.3,12.06
244,Wajir,0,KE,1595792858,54,1.75,40.06,79.63,18.41
245,Anápolis,0,BR,1595793400,32,-16.33,-48.95,84.2,10.29
246,Kangaatsiaq,100,GL,1595793400,94,68.31,-53.46,44.35,16.64
247,Tanabe,100,JP,1595793401,96,33.73,135.37,75.0,7.87
248,Goma,0,CD,1595793401,66,-1.68,29.22,65.21,2.15
249,Padang,40,ID,1595793038,94,-0.95,100.35,75.2,4.7
250,Couëron,0,FR,1595793402,68,47.22,-1.72,66.99,6.93
251,Bandarbeyla,0,SO,1595793129,81,9.49,50.81,77.68,25.21
252,Boa Vista,75,BR,1595793309,59,2.82,-60.67,89.6,5.82
253,Tranås,100,SE,1595793402,93,58.04,14.98,62.6,5.82
254,Muroto-misakicho,99,JP,1595793402,83,33.28,134.15,80.11,10.4
255,Mariehamn,91,AX,1595793403,87,60.1,19.93,60.8,9.17
256,Shimoda,98,JP,1595793403,94,34.67,138.95,70.0,1.01
257,Témiscaming,90,CA,1595793403,74,46.72,-79.1,84.0,12.75
258,Córdoba,0,AR,1595793165,16,-31.41,-64.18,75.99,8.05
259,Vanavara,100,RU,1595793124,90,60.34,102.28,55.87,9.6
260,Fort Saint James,0,CA,1595793404,36,54.43,-124.25,81.12,3.29
261,Sabang,100,ID,1595793404,78,5.89,95.32,81.72,12.3
262,Petropavl,100,KZ,1595793405,88,54.88,69.16,54.3,5.41
263,Pacific Grove,20,US,1595793081,68,36.62,-121.92,73.99,8.05
264,Allāpalli,23,IN,1595793406,79,19.42,80.07,78.87,1.5
265,Jiuquan,39,CN,1595793199,22,39.74,98.52,73.71,14.72
266,Aloleng,40,PH,1595793406,78,16.13,119.78,82.31,4.7
267,North Bend,1,US,1595793278,60,43.41,-124.22,88.0,11.41
268,Seoul,75,KR,1595793171,94,37.57,126.98,75.2,0.29
269,Dhidhdhoo,77,MV,1595793407,73,6.88,73.1,81.95,7.36
270,San Policarpo,27,PH,1595793407,86,12.18,125.51,78.82,3.51
271,Buriti Bravo,3,BR,1595793407,25,-5.84,-43.83,90.19,4.72
272,Orotukan,4,RU,1595793408,53,62.27,151.7,62.31,8.95
273,Vanimo,100,PG,1595793408,82,-2.67,141.3,77.4,5.32
274,Alihe,69,CN,1595793408,90,50.57,123.72,65.73,1.63
